City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
1151,Timra,SE,62.487,17.3257,43.68,79,23,2.3,few clouds
1152,Grand-Santi,GF,4.25,-54.3833,76.71,77,65,1.61,broken clouds
1153,Mana,GF,5.6592,-53.7767,80.76,84,10,9.42,clear sky
1154,Mari-Turek,RU,56.7895,49.6235,43.84,93,99,1.88,overcast clouds
1155,Saint-Ambroise,CA,48.5501,-71.3324,60.58,77,53,3.44,broken clouds
1156,Kawalu,ID,-7.3817,108.2082,74.3,91,82,2.28,broken clouds
1157,Kaili,ID,-3.4626,120.2147,73.08,81,69,1.77,broken clouds
1158,Sheridan,US,44.8333,-106.9173,88.18,13,1,3.44,clear sky
1159,Vostok,RU,46.4856,135.8833,56.37,56,95,0.85,overcast clouds
1160,Ambilobe,MG,-13.2,49.05,65.48,78,8,3.18,clear sky
1161,Matamoros,MX,25.5333,-103.25,88.11,26,71,19.13,broken clouds
1162,Havoysund,NO,70.9963,24.6622,45.48,86,95,18.39,overcast clouds
1163,Nusaybin,TR,37.0778,41.2178,66.83,33,0,12.01,clear sky
1164,Sur,OM,22.5667,59.5289,84.99,62,100,6.78,overcast clouds
1165,Sambava,MG,-14.2667,50.1667,68.88,82,16,13.96,few clouds
1166,Filadelfia,US,39.9523,-75.1638,70.7,69,75,0.0,broken clouds
1167,Lucea,JM,18.451,-78.1736,85.86,76,31,5.95,scattered clouds
1168,Pringsewu,ID,-5.3582,104.9744,75.83,94,85,0.76,overcast clouds
1169,Khandyga,RU,62.6667,135.6,40.42,92,100,3.4,overcast clouds
1170,Saint-Denis,FR,48.9167,2.3333,64.8,90,20,1.99,few clouds
1171,Hofn,IS,64.2539,-15.2082,40.33,82,100,16.17,overcast clouds
1172,Mlimba,TZ,-8.8,35.8167,72.37,65,16,6.26,few clouds
1173,Oberstdorf,DE,47.4,10.2833,62.44,82,82,1.01,broken clouds
1174,Marostica,IT,45.7468,11.6579,67.44,82,44,3.11,scattered clouds
1175,Along,IN,28.1667,94.7667,70.27,97,70,2.66,broken clouds
1176,Santiago Del Estero,AR,-27.7951,-64.2615,74.8,25,0,9.42,clear sky
1177,Ferrol,ES,43.4832,-8.2369,65.26,84,47,9.55,scattered clouds
1178,Daugavpils,LV,55.8833,26.5333,46.02,96,19,8.46,few clouds
1179,Dowa,MW,-13.654,33.9375,62.04,61,21,1.01,few clouds
1180,Hailar,CN,49.2,119.7,56.95,74,96,15.64,overcast clouds
1181,La Asuncion,VE,11.0333,-63.8628,85.73,70,47,4.61,scattered clouds
1182,Huarmey,PE,-10.0681,-78.1522,64.04,84,92,11.56,overcast clouds
1183,Herouville-Saint-Clair,FR,49.2109,-0.3065,65.39,94,0,9.22,clear sky
1184,At-Bashi,KG,41.1702,75.8106,45.86,26,0,1.12,clear sky
1185,Hovd,MN,48.0056,91.6419,35.91,31,19,6.98,few clouds
1186,Novobirilyussy,RU,56.9514,90.6661,35.28,92,100,6.78,overcast clouds
1187,Ekibastuz,KZ,51.6667,75.3667,38.43,92,1,8.23,clear sky
1188,Pangody,RU,65.85,74.4859,31.35,82,7,6.24,clear sky
1189,Lasa,IT,46.6166,10.7002,61.68,95,74,2.71,broken clouds
1190,Talgar,KZ,43.3027,77.2395,37.56,56,0,0.0,clear sky
1191,Naze,JP,28.3667,129.4833,77.92,84,43,12.35,scattered clouds
1192,Wanaka,NZ,-44.7,169.15,48.11,56,64,1.01,broken clouds
1193,Makakilo City,US,21.3469,-158.0858,86.32,57,90,8.05,overcast clouds
1194,Tommot,RU,58.9564,126.2925,39.63,72,80,6.53,broken clouds
1195,Maybole,GB,55.355,-4.6803,63.34,82,20,13.8,few clouds
1196,Warri,NG,5.5167,5.75,73.38,95,100,2.42,overcast clouds
1197,Toamasina,MG,-18.1667,49.3833,69.8,94,75,5.75,light rain
1198,Taguatinga,BR,-12.3857,-46.5711,81.48,52,79,1.72,broken clouds
1199,Tarata,BO,-17.6167,-66.0167,71.02,62,55,7.7,broken clouds
1200,Gulu,UG,2.7746,32.299,61.97,95,87,3.47,overcast clouds
1201,Ellisras,ZA,-23.6649,27.7443,64.42,41,28,4.94,scattered clouds
1202,Yar-Sale,RU,66.8333,70.8333,32.38,84,10,7.09,clear sky
1203,Sid,RS,45.1283,19.2264,57.06,63,0,5.84,clear sky
1204,Cairns,AU,-16.9167,145.7667,84.11,62,40,11.5,scattered clouds
1205,Bonavista,CA,48.6499,-53.1147,50.0,78,100,13.44,overcast clouds
